epoch,phase,train_loss,train_acc,val_loss,val_acc,val_f1_macro,lr
1,head,1.0891545216242473,0.5333333333333333,1.1239653825759888,0.42105263157894735,0.3473389355742296,0.001
2,head,0.7169653351108233,0.7333333333333333,0.8219046890735626,0.5263157894736842,0.39393939393939387,0.001
3,head,0.49436065057913464,0.9,0.8902115821838379,0.42105263157894735,0.35725677830940983,0.001
4,head,0.33573904385169345,0.9944444444444445,0.8457574844360352,0.5789473684210527,0.48179271708683474,0.001
5,head,0.2830263103048007,0.9666666666666667,0.7726004719734192,0.5263157894736842,0.4857142857142857,0.001
6,head,0.23588195194800696,0.9722222222222222,0.7379792928695679,0.5789473684210527,0.4444444444444444,0.001
7,head,0.24698828781644502,0.9777777777777777,0.7129416167736053,0.631578947368421,0.4897435897435898,0.001
8,head,0.23781159333884716,0.9666666666666667,0.9258737564086914,0.5789473684210527,0.5358220211161387,0.001
9,finetune,0.11996879568323493,0.9833333333333333,1.102014571428299,0.631578947368421,0.5722222222222223,0.0001
10,finetune,0.007081826527913411,1.0,1.5129736065864563,0.5263157894736842,0.4871794871794872,0.0001
11,finetune,0.07202900241827592,0.9777777777777777,1.747409164905548,0.5263157894736842,0.5001665001665002,0.0001
12,finetune,0.009875213673997981,1.0,1.4969199299812317,0.5789473684210527,0.5316239316239316,0.0001
13,finetune,0.013620983004026735,1.0,1.4937373995780945,0.631578947368421,0.5756613756613757,0.0001
14,finetune,0.013488912269773815,1.0,1.3747255206108093,0.631578947368421,0.5,5e-05
15,finetune,0.011678042809459535,1.0,1.49091374874115,0.6842105263157895,0.6091269841269841,5e-05
16,finetune,0.009429565870959777,1.0,1.8904294967651367,0.631578947368421,0.5756613756613757,5e-05
17,finetune,0.017182760374756374,0.9888888888888889,1.8547307848930359,0.6842105263157895,0.6166666666666667,5e-05
18,finetune,0.010228628828675332,1.0,1.61287122964859,0.631578947368421,0.5756613756613757,5e-05
19,finetune,0.0032249603464151733,1.0,1.5183523297309875,0.7368421052631579,0.6563492063492063,2.5e-05
20,finetune,0.001933605170052033,1.0,1.287553995847702,0.6842105263157895,0.5464052287581699,2.5e-05
21,finetune,0.14603416850150097,0.9888888888888889,1.388969510793686,0.631578947368421,0.5,2.5e-05
22,finetune,0.0030508065877559907,1.0,1.2761164009571075,0.631578947368421,0.5194444444444445,2.5e-05
23,finetune,0.0028338969884013445,1.0,1.204489678144455,0.6842105263157895,0.5464052287581699,2.5e-05
24,finetune,0.16309321831310322,0.9888888888888889,1.1741824448108673,0.6842105263157895,0.5464052287581699,1.25e-05
25,finetune,0.009169669431382014,0.9944444444444445,1.1160077452659607,0.6842105263157895,0.5464052287581699,1.25e-05
26,finetune,0.13039183569101928,0.9833333333333333,1.1004958599805832,0.6842105263157895,0.5464052287581699,1.25e-05
27,finetune,0.01885585897010363,0.9888888888888889,1.122731626033783,0.6842105263157895,0.5464052287581699,1.25e-05
28,finetune,0.0021140059106983244,1.0,1.188302755355835,0.631578947368421,0.5194444444444445,1.25e-05
29,finetune,0.010690264896159837,1.0,1.1420392543077469,0.6842105263157895,0.5464052287581699,1.25e-05
